name,organ_dice,organ_nsd,tumor_dice,tumor_nsd
D:\projects\DiffTumor\full_label_training\labelsTr\077,0.9965804370483924,0.989405491880121,0.7095503013444598,0.6768745266497505
D:\projects\DiffTumor\full_label_training\labelsTr\078,0.9919234712630337,0.9836753243694226,0.8045819463481496,0.7667419144527029
D:\projects\DiffTumor\full_label_training\labelsTr\079,0.5240843543122492,0.8014927363758113,0.39073772882063196,0.083005048373517
D:\projects\DiffTumor\full_label_training\labelsTr\080,0.42214289607063055,0.9005600216010742,0.4666321013258277,0.09180129272862751
D:\projects\DiffTumor\full_label_training\labelsTr\081,0.9996201027222539,0.9975106228408076,0.6268048870788597,0.7513596931501837
D:\projects\DiffTumor\full_label_training\labelsTr\082,0.7718935688805145,0.875290174802832,0.6735008631522368,0.3348038033588866
D:\projects\DiffTumor\full_label_training\labelsTr\083,0.8015786104584885,0.9060220482243169,0.9195753973077541,0.5651595455404879
D:\projects\DiffTumor\full_label_training\labelsTr\084,0.9865595030984458,0.9851388507680847,0.2819902243388896,0.06356243603067088
D:\projects\DiffTumor\full_label_training\labelsTr\085,0.7413320545216445,0.8614572438839221,0.8245092182253797,0.3833964189408312
D:\projects\DiffTumor\full_label_training\labelsTr\086,0.8763799303970737,0.9236802763475589,0.9311627255950897,0.7277417060424222
D:\projects\DiffTumor\full_label_training\labelsTr\087,0.9990768297140749,0.9961707607900713,0.0,0.0
D:\projects\DiffTumor\full_label_training\labelsTr\088,0.9542932461522522,0.9600431842981055,0.05486839791312503,0.05503113040446597
D:\projects\DiffTumor\full_label_training\labelsTr\089,0.9831296065155393,0.9747729179452878,0.548151556203086,0.29609142423287743
D:\projects\DiffTumor\full_label_training\labelsTr\090,0.9535853235691466,0.9587957044834673,0.689594545337593,0.33766404178034465
D:\projects\DiffTumor\full_label_training\labelsTr\091,0.9983012804446747,0.9936536602438267,0.0,0.01168166081508994
D:\projects\DiffTumor\full_label_training\labelsTr\092,0.9083559932387741,0.9323208584582914,0.6081915092575276,0.2996000540328203
D:\projects\DiffTumor\full_label_training\labelsTr\093,0.9940184767337903,0.9809305975488118,0.8690315593471528,0.8625055593550809
D:\projects\DiffTumor\full_label_training\labelsTr\094,0.9968871637116606,0.9913169558581229,0.0,0.0
